제목,링크,소관부처_지자체,pblanc_id,벡터스토어 저장
혁신성장촉진자금(2025년 중소벤처기업부 소관 소상공인 정책자금 융자계획 공고),https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103588,중소벤처기업부,PBLN_000000000103588,True
[인천] 동구 인구감소(관심)지역 기업지원 특례보증 금융지원 신청 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103587,인천광역시,PBLN_000000000103587,True
소공인특화자금(2025년 중소벤처기업부 소관 소상공인 정책자금 융자계획 공고),https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103580,중소벤처기업부,PBLN_000000000103580,True
성장기반자금(2025년 중소벤처기업부 소관 소상공인 정책자금 융자계획 공고),https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103579,중소벤처기업부,PBLN_000000000103579,True
청년고용연계자금(2025년 중소벤처기업부 소관 소상공인 정책자금 융자계획 공고),https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103577,중소벤처기업부,PBLN_000000000103577,True
재도약지원자금-구조개선전용자금(2025년 중소기업 정책자금 융자계획 공고),https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103582,중소벤처기업부,PBLN_000000000103582,True
재도약지원자금-사업전환자금(사업재편ㆍ산업경쟁력강화ㆍ통상변화대응)(2025년 중소기업 정책자금 융자계획 공고),https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103575,중소벤처기업부,PBLN_000000000103575,True
재도전특별자금(2025년 중소벤처기업부 소관 소상공인 정책자금 융자계획 공고),https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103574,중소벤처기업부,PBLN_000000000103574,True
재도약지원자금-사업전환자금(일반)(2025년 중소기업 정책자금 융자계획 공고),https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103573,중소벤처기업부,PBLN_000000000103573,True
특별경영안정자금(2025년 중소벤처기업부 소관 소상공인 정책자금 융자계획 공고),https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103572,중소벤처기업부,PBLN_000000000103572,True
신성장기반자금-제조현장스마트화(2025년 중소기업 정책자금 융자계획 공고),https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103571,중소벤처기업부,PBLN_000000000103571,True
신성장기반자금-Net Zero 유망기업 지원(2025년 중소기업 정책자금 융자계획 공고),https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103581,중소벤처기업부,PBLN_000000000103581,True
신용취약소상공인자금(2025년 중소벤처기업부 소관 소상공인 정책자금 융자계획 공고),https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103560,중소벤처기업부,PBLN_000000000103560,True
장애인기업지원자금(2025년 중소벤처기업부 소관 소상공인 정책자금 융자계획 공고),https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103570,중소벤처기업부,PBLN_000000000103570,True
신성장기반자금-스케일업금융(2025년 중소기업 정책자금 융자계획 공고),https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103559,중소벤처기업부,PBLN_000000000103559,True
긴급경영안정자금(2025년 중소벤처기업부 소관 소상공인 정책자금 융자계획 공고),https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103569,중소벤처기업부,PBLN_000000000103569,True
신성장기반자금-혁신성장지원자금(협동화)(2025년 중소기업 정책자금 융자계획 공고),https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103568,중소벤처기업부,PBLN_000000000103568,True
일반경영안정자금(2025년 중소벤처기업부 소관 소상공인 정책자금 융자계획 공고),https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103558,중소벤처기업부,PBLN_000000000103558,True
신성장기반자금-혁신성장지원자금(일반)(2025년 중소기업 정책자금 융자계획 공고),https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103565,중소벤처기업부,PBLN_000000000103565,True
신시장진출지원자금-수출기업글로벌화(2025년 중소기업 정책자금 융자계획 공고),https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103557,중소벤처기업부,PBLN_000000000103557,True
신시장진출지원자금-내수기업수출기업화(2025년 중소기업 정책자금 융자계획 공고),https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103561,중소벤처기업부,PBLN_000000000103561,True
혁신창업사업화자금-개발기술사업화자금(2025년 중소기업 정책자금 융자계획 공고),https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103555,중소벤처기업부,PBLN_000000000103555,True
혁신창업사업화자금-창업기반지원자금(청년전용창업자금)(2025년 중소기업 정책자금 융자계획 공고),https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103553,중소벤처기업부,PBLN_000000000103553,True
혁신창업사업화자금-창업기반지원자금(일반)(2025년 중소기업 정책자금 융자계획 공고),https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103547,중소벤처기업부,PBLN_000000000103547,True
[전남] 2025년 중소기업 육성자금(중소기업특별경영안정자금) 지원계획 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103531,전라남도,PBLN_000000000103531,True
[전남] 2025년 중소기업 육성자금(중소유통업 구조개선자금) 지원계획 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103529,전라남도,PBLN_000000000103529,True
[전남] 2025년 중소기업 육성자금(벤처기업육성자금) 지원계획 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103545,전라남도,PBLN_000000000103545,True
[전남] 2025년 중소기업 육성자금(창업 및 경쟁력강화자금) 지원계획 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103528,전라남도,PBLN_000000000103528,True
2025년 국민체육진흥기금 스포츠산업융자(튼튼론) 신청 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103500,문화체육관광부,PBLN_000000000103500,True
